Year,Quarter,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2015,Q4,0.08758064516129031,,0.12548387096774194,,0.31612903225806455,0.467258064516129,0.8382258064516129,1.1372580645161292,1.5841935483870968,1.9406451612903224,2.190483870967742,2.5961290322580646,2.9606451612903224
2016,Q1,0.2460655737704918,,0.2904918032786885,,0.45081967213114754,0.580983606557377,0.8362295081967213,1.0234426229508196,1.3698360655737705,1.6865573770491802,1.9142622950819672,2.317049180327869,2.7185245901639346
2016,Q2,0.211875,,0.259375,,0.3984375,0.56625,0.77125,0.91609375,1.24046875,1.535,1.75015625,2.1467187500000002,2.5659375
2016,Q3,0.23890625000000001,,0.29828125,,0.43984375,0.559375,0.728125,0.8496875,1.12859375,1.3968749999999999,1.564375,1.90984375,2.28
2016,Q4,0.3240983606557377,,0.43327868852459017,,0.5673770491803278,0.7557377049180328,1.0095081967213115,1.238688524590164,1.6147540983606556,1.9354098360655738,2.138688524590164,2.5195081967213113,2.83
2017,Q1,0.5535483870967742,,0.6061290322580645,,0.7277419354838709,0.8925806451612904,1.2443548387096774,1.5164516129032257,1.9479032258064515,2.255483870967742,2.4466129032258066,2.783709677419355,3.0461290322580648
2017,Q2,0.773015873015873,,0.9080952380952381,,1.035079365079365,1.1257142857142857,1.2976190476190477,1.472063492063492,1.8111111111111111,2.0725396825396825,2.260952380952381,2.632857142857143,2.896984126984127
2017,Q3,0.9817460317460318,,1.053968253968254,,1.142222222222222,1.2434920634920636,1.3626984126984127,1.5101587301587303,1.8134920634920635,2.0625396825396827,2.2414285714285715,2.576349206349206,2.8174603174603177
2017,Q4,1.0948387096774193,,1.2266129032258064,,1.3761290322580644,1.5503225806451613,1.6943548387096774,1.8129032258064517,2.0691935483870965,2.2480645161290322,2.371451612903226,2.6164516129032256,2.8167741935483868
2018,Q1,1.4409836065573771,,1.5821311475409836,,1.773934426229508,1.9424590163934425,2.1604918032786884,2.30672131147541,2.534918032786885,2.6839344262295084,2.7585245901639346,2.9045901639344263,3.0301639344262297
2018,Q2,1.72390625,,1.8746875,,2.0553125,2.2521875,2.47703125,2.6090625,2.765625,2.8740625,2.920625,2.9971875,3.0853125
2018,Q3,1.953968253968254,,2.0746031746031743,,2.248253968253968,2.46015873015873,2.6658730158730157,2.7434920634920634,2.809047619047619,2.882222222222222,2.9238095238095236,2.9963492063492065,3.063015873015873
